"","week","weekly_rank","show_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english"
"237","2021-09-19",5,"Nightbooks",13160000,1.0833,12148066.0943414,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"238","2021-09-19",7,"Firedrake the Silver Dragon",9650000,2,4825000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"239","2021-09-19",8,"Safe House",9060000,2,4530000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"240","2021-09-19",9,"Afterlife of the Party",8100000,1.9667,4118574.2614532,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"241","2021-09-19",10,"First Kill",6950000,2,3475000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"242","2021-09-19",1,"The Father Who Moves Mountains",14830000,1.8667,7944500.99105373,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"243","2021-09-19",2,"Prey",14270000,1.75,8154285.71428571,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"244","2021-09-19",3,"The Stronghold",10360000,1.6667,6215875.68248635,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"245","2021-09-19",4,"JJ+E",3140000,1.75,1794285.71428571,2,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"246","2021-09-19",8,"Kung Fu Hustle",1800000,1.9667,915238.724767377,2,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"247","2021-09-19",9,"The Women and the Murderer",1470000,1.7333,848093.232562165,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"248","2021-09-12",1,"Kate",38780000,1.0833,35798024.5546017,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"249","2021-09-12",2,"Afterlife of the Party",23790000,1.6333,14565603.3796608,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"250","2021-09-12",3,"Worth",13560000,2,6780000,2,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"251","2021-09-12",4,"He's All That",10930000,1.4333,7625758.73857532,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"252","2021-09-12",5,"SAS: Rise of the Black Swan",9930000,1.9667,5049066.9649667,3,"false",FALSE,FALSE,FALSE,TRUE,TRUE
